,City,Country,Date,Latitude,Longitude,Temp,Temp Min,Temp Max,Pressure,Humidity,Clouds,Wind Speed,Max F
0,Hinton,CA,1578450793,53.4,-117.57,-12.569999999999993,260.58,260.58,1006,97,100,4.183190000000001,9.374000000000013
1,Ilebo,CD,1578450793,-4.33,20.59,20.360000000000014,293.51,293.51,1010,98,100,1.76723,68.64800000000002
2,Punta Arenas,CL,1578450793,-53.16,-70.91,10.0,283.15,283.15,980,76,75,19.4619,50.0
3,Pevek,RU,1578450793,69.7,170.27,-24.339999999999975,248.81,248.81,1015,81,0,13.77992,-11.811999999999955
4,Adelaide,AU,1578450793,-34.93,138.6,33.24000000000001,303.15,308.71,1013,9,0,4.004230000000001,96.00800000000001
5,Pereslavl-Zalesskiy,RU,1578450793,56.74,38.86,-1.3899999999999864,271.76,271.76,1021,96,100,9.194070000000002,29.498000000000026
6,Thompson,CA,1578450794,55.74,-97.86,-25.99999999999997,247.15,247.15,1022,75,40,4.6977,-14.799999999999947
7,Puerto Baquerizo Moreno,EC,1578450794,-0.9,-89.6,25.379999999999995,298.53,298.53,1013,84,75,8.59008,77.684
8,Broome,GB,1578450794,52.47,1.45,12.79000000000002,284.82,287.15,1016,82,100,16.1064,57.2
9,Hilo,US,1578450794,19.71,-155.08,23.420000000000016,294.26,300.15,1019,57,75,13.8694,80.6
10,Mataura,NZ,1578450794,-46.19,168.86,15.560000000000002,288.71,288.71,1015,66,97,11.00604,60.00800000000001
11,Souillac,FR,1578450794,45.6,-0.6,10.340000000000032,283.15,284.15,1031,100,90,3.3555,51.8
12,Tecoanapa,MX,1578450794,16.99,-99.26,26.0,299.15,299.15,1014,83,20,3.3555,78.80000000000001
13,Avera,US,1578450794,33.19,-82.53,8.270000000000039,278.71,284.15,1023,39,1,5.8162,51.8
14,Hobart,AU,1578450794,-42.88,147.33,23.05000000000001,294.15,297.59,1019,43,20,16.1064,75.99199999999999
15,Saint George,GR,1578450795,39.45,22.34,-1.1899999999999977,268.15,275.37,1026,79,20,2.03567,35.99600000000005
16,Umm Lajj,SA,1578450795,25.02,37.27,11.939999999999998,285.09,285.09,1016,56,0,4.63059,53.492
17,Jamestown,AU,1578450539,-33.21,138.6,31.430000000000007,304.58,304.58,1013,20,0,7.583430000000001,88.57400000000001
18,Albany,US,1578450557,42.65,-73.75,-1.2399999999999523,270.37,273.71,1011,63,90,2.5054400000000006,33.008
19,Port Alfred,ZA,1578450795,-33.59,26.89,20.560000000000002,293.71,293.71,1008,98,100,1.00665,69.00800000000001
20,Rikitea,PF,1578450795,-23.12,-134.97,25.07000000000005,298.22,298.22,1017,80,0,17.6723,77.12600000000009
21,Danjiangkou,CN,1578450795,32.54,111.51,3.480000000000018,276.63,276.63,1030,88,100,9.14933,38.26400000000003
22,Nanakuli,US,1578450795,21.39,-158.15,24.480000000000018,296.15,299.15,1019,73,90,13.8694,78.80000000000001
23,Bethel,US,1578450796,60.79,-161.76,-28.22999999999999,244.15,245.15,1018,75,1,16.1064,-18.39999999999995
24,Vaini,IN,1578450796,15.34,74.49,17.0,290.15,290.15,1017,100,40,3.33313,62.6
25,Ushuaia,AR,1578450713,-54.81,-68.31,8.0,281.15,281.15,981,93,90,4.6977,46.4
26,Tame,CO,1578450796,6.46,-71.72,23.960000000000036,297.11,297.11,1014,65,0,4.63059,75.12800000000007
27,Bluff,AU,1578450796,-23.58,149.07,33.27000000000004,306.42,306.42,1011,25,2,12.68379,91.88600000000008
28,Peabiru,BR,1578450796,-23.91,-52.35,22.0,295.15,295.15,1009,100,20,5.8162,71.6
